Year,Mortgage_Rate,Consumer_Inflation_Rate,House_Inflation_Rate_Colorado,House_Inflation_Rate_Denver,House_Inflation_Rate_Boulder,House_Inflation_Rate_USA,House_Inflation_Rate_Mountain,cluster
2013.0,3.34,1.7595049796895523,2.2683966972144143,3.758535919147765,2.0510716849553967,5.070628622882545,11.421268918512585,3
2013.25,3.56,1.5187472411246183,4.0844256561540115,5.8533377178559665,3.0299928344764027,6.925609688040635,13.292754761437276,3
2013.5,4.07,1.7157935271568725,5.917500758265093,7.662710670351691,5.701821914293048,7.3240040748485224,11.312714776632294,3
2013.75,4.49,1.0947341081747997,6.738689268234466,9.473572037510646,6.592906941497434,7.266991069996265,11.07233502538072,3
2014.0,4.46,1.5128383667573297,6.660160293378281,9.582477754962348,6.3360466284795525,6.695232994108191,9.787253182206634,3
2014.25,4.34,1.6126949139408042,6.85191678354371,9.516412964688836,7.451564828613999,5.511482254697286,7.894280762564998,3
2014.5,4.16,2.0589816945944195,8.304458635205169,10.806865656616505,8.365702078073411,4.47619523405105,6.392524903268315,3
2014.75,4.16,1.6840509711232077,8.08309567745904,9.54443687335733,7.990900042656035,3.958125623130604,5.500469253682638,3
2015.0,3.86,0.6531213919623191,8.77027589075281,10.161918031999239,8.902329537400178,4.728915662650612,6.874513499119184,3
2015.25,3.77,-0.022031284423873476,9.322103420930294,10.56164901664145,8.400369856680534,5.035615354174916,6.9070757368886015,3
2015.5,3.98,0.1795718097550525,10.076412575024452,11.38366494049241,9.619606613199515,5.159470186008708,6.894417147057674,3
2015.75,3.89,0.008842961634170088,11.568409343715235,13.062602745812413,12.402896642527983,5.404238994917043,7.9404370527944135,3
2016.0,3.96,0.6387247515364791,11.47394718058532,12.80094207955338,13.207792771293448,5.33026555459688,7.14532142446429,3
2016.25,3.69,0.8916160965521946,11.331232177697736,12.866672368083453,13.656331300379577,5.505321653951212,8.305161144917728,3
2016.5,3.57,1.0792865347959424,10.68408916218293,11.655791190864594,13.53306629608435,5.433794106947998,7.7491042021064604,3
2016.75,3.46,1.5486446201652182,9.696491919590056,10.492395960231082,10.706337120768406,5.896001091852066,7.27031675505232,3
2017.0,4.2,2.0507989115119862,9.780694733472073,10.292696129605993,10.440381740830151,6.016200964776552,8.203642087939622,3
2017.25,4.2,2.44119623655914,9.654444144872842,10.486834627770424,10.645802844384411,6.137570861045405,7.949224846530023,3
2017.5,3.9,1.640565809959127,9.639756944444455,10.581488786617,9.914677610973111,5.986112908095054,7.877057440376212,3
2017.75,3.8,2.1805652303711787,8.513876265561905,9.367998008322353,7.473635946813406,6.169179877131925,8.35087016067073,3
2018.0,3.95,2.129930719552253,8.388534766487531,9.39176161262052,7.704320666319631,6.177026098901095,8.603359344002115,3
2018.25,4.44,2.3309497646499366,9.476488064747457,9.872098206631708,7.383164891813054,6.8130204390613125,9.432931726907645,3
2018.5,4.57,2.8075506935940187,8.45374292387473,8.796036333608592,6.609675411876448,6.148524923702947,9.48466448699985,3
2018.75,4.63,2.332055105808828,8.375698786497598,8.562323176482067,8.23378839590443,5.669081050459268,8.826340290409096,3
2019.0,4.64,2.0023809043401064,7.245401956450692,7.040764004614775,6.91799581118091,5.316353345461899,7.443828776715589,3
2019.25,4.26,1.8831863513063984,5.871233389481567,5.539604269396414,5.508006190190451,4.779903929443274,6.256422301165565,3
2019.5,3.8,1.671194894390049,4.872885222564927,4.128969579209429,3.8065685581738284,4.814843210917741,6.146014049657289,3
2019.75,3.6,1.6844977040391562,4.239831772677438,3.4237958303378946,2.7500682210970018,5.150493987899196,6.895184135977339,3
2020.0,3.72,2.3195274699624457,4.797233123667177,4.098679680249084,2.7605328189982625,5.850287907869478,8.174888781842382,3
2020.25,3.45,1.4940399642909163,4.500857390351265,3.8530916402992554,2.7928278504504966,6.301668420261519,8.993700265251992,3
2020.5,3.16,0.7166562831830481,4.084367332022354,3.501661904484221,1.6840298330768277,5.848145709896868,7.719307646964246,3
2020.75,2.89,1.3910228912373812,4.7484396013655505,4.5268919975671285,2.7944995278564866,9.421319057503919,11.403508771929838,3
2021.0,2.68,1.3204191315779434,6.019151846785231,5.740580960598218,3.9386474280016515,11.637774715311512,13.914501257334443,3
2021.25,3.08,2.6678187820641908,7.70727251196861,7.673690205011385,4.248689574839837,14.058467955742525,17.35239688696224,3
2021.5,2.98,5.295632620349999,14.097976926935285,14.253922645708329,12.038303693570462,18.855602778065705,24.91107628783922,1
2021.75,2.9,5.351215590949132,18.990321306294454,18.747575505680246,17.30730587053251,17.52978765892299,23.545923829007776,1
2022.0,3.1,7.174340285065539,19.888709677419335,19.629549039873794,17.129877825117788,17.444693499658893,23.061534216335524,1
2022.25,4.17,8.572204966013853,21.58350217531293,21.406849133941574,21.77435123886142,18.270005578627657,24.122958610559063,1
2022.5,5.52,8.979361103105798,21.85750710706018,22.150447496240044,23.819915309277008,15.35845107273679,16.958062845991485,1
2022.75,6.11,8.192106896425821,13.82644662396768,12.810341609109566,14.237470634299143,10.336136833460774,8.653124097429465,1
