Year,CPI,HousingIndex_Colorado,HousingIndex_Denver,HousingIndex_Boulder,Mortgage_Rate,Consumer_Inflation_Rate,House_Inflation_Rate_Colorado,House_Inflation_Rate_Denver,House_Inflation_Rate_Boulder,CPI_monthly,HousingIndex_USA,HousingIndex_Mountain,Mortgage_Rate_monthly,Consumer_Inflation_Rate_monthly,House_Inflation_Rate_USA,House_Inflation_Rate_Mountain
2009.5,214.79,353.17,190.52,200.14,5.42,-1.2291746182109153,-1.4867503486750255,-0.574052812858783,-0.12475672438744256,214.79,191.36,226.67,5.42,-1.2291746182109153,-6.521420546138435,-12.657983970406905
2009.75,215.861,344.85,186.48,197.65,5.06,-1.377942862886472,-1.88351779668251,-0.6764314247669878,-1.0859773796416672,215.861,190.28,223.15,5.06,-1.377942862886472,-4.372298723489787,-10.65780518076631
2010.0,217.347,343.92,186.86,197.73,4.93,2.8141231232083674,-2.4368103032538,-1.0118133177941413,-1.4847292112998955,217.347,189.39,220.93,4.93,2.8141231232083674,-1.9974126778784074,-7.525846553095306
2010.25,217.353,340.04,185.73,196.15,4.97,2.2861714393279886,-5.289251594574251,-3.771825294026221,-3.011273734177222,217.353,188.44,219.17,4.97,2.2861714393279886,-2.266479954359213,-5.227882037533515
2010.5,217.199,336.09,184.12,195.41,4.74,1.1215605940686268,-4.83619786505084,-3.3592273777031334,-2.363345658039373,217.199,186.72,213.4,4.74,1.1215605940686268,-2.4247491638796026,-5.854325671681293
2010.75,218.275,340.29,187.12,197.59,4.35,1.1183122472331775,-1.3223140495867813,0.343200343200345,-0.030356691120669854,218.275,183.63,208.75,4.35,1.1183122472331775,-3.494849695186042,-6.453058480842488
2011.0,220.472,338.8,186.75,197.44,4.71,1.437793022217937,-1.4887183065829257,-0.05886760141282643,-0.14666464370606258,220.472,181.97,205.41,4.71,1.437793022217937,-3.9178414911030135,-7.024849499841579
2011.25,223.046,330.22,182.38,192.15,4.84,2.619241510354109,-2.887895541700969,-1.8036935336240734,-2.0392556716798405,223.046,177.29,198.61,4.84,2.619241510354109,-5.917002759499046,-9.380845918693236
2011.5,224.806,324.41,179.2,191.98,4.51,3.5023181506360412,-3.4752596030824923,-2.672170323701939,-1.7552837623458384,224.806,177.8,196.51,4.51,3.5023181506360412,-4.777206512425014,-7.914714151827562
2011.75,226.597,327.7,181.67,193.56,4.11,3.812621692818685,-3.699785477093076,-2.9125694741342523,-2.0395769016650633,226.597,178.72,199.8,4.11,3.812621692818685,-2.673855034580408,-4.287425149700597
2012.0,227.223,330.64,183.17,195.09,3.96,3.062066838419386,-2.408500590318774,-1.9170013386880957,-1.1902350081037238,227.223,179.12,201.73,3.96,3.062066838419386,-1.5661922294883723,-1.7915388734725757
2012.25,228.807,328.88,182.59,195.47,3.95,2.5828752813320977,-0.4057900793410507,0.11514420440839057,1.7278168097840219,228.807,180.33,206.16,3.95,2.5828752813320977,1.7147047210784638,3.801419868083178
2012.5,228.524,329.73,184.66,194.9,3.68,1.653870448297634,1.6399001263832869,3.0468750000000044,1.5209917699760434,228.524,183.06,214.69,3.68,1.653870448297634,2.9583802024746753,9.2514375858735
2012.75,231.015,335.13,187.78,197.98,3.5,1.9497168982819613,2.2673176685993335,3.3632410414487834,2.283529654887362,231.015,185.47,219.3,3.5,1.9497168982819613,3.77685765443152,9.759759759759756
2013.0,231.221,338.17,190.04,199.15,3.35,1.7595049796895523,2.2774014033389856,3.750614183545342,2.0810907786150024,231.221,188.14,225.04,3.35,1.7595049796895523,5.035730236712799,11.555048827640913
2013.25,232.282,342.31,193.28,201.35,3.57,1.5187472411246183,4.08355631233277,5.854647023385717,3.0081342405484213,232.282,192.6,233.02,3.57,1.5187472411246183,6.804192314090818,13.02871556072953
2013.5,232.445,349.3,198.84,206.08,4.07,1.7157935271568725,5.93515906954174,7.678977580418067,5.736275012827097,232.445,196.32,238.84,4.07,1.7157935271568725,7.243526712553261,11.248777306814484
2013.75,233.544,357.84,205.64,211.1,4.49,1.0947341081747997,6.776474800823551,9.511130045798266,6.626932013334685,233.544,199.06,243.98,4.49,1.0947341081747997,7.327330565590118,11.253989968080248
2014.0,234.719,360.87,208.3,211.92,4.46,1.5128383667573297,6.712600171511363,9.608503472953078,6.412252071303026,234.719,200.82,247.04,4.46,1.5128383667573297,6.739661953864151,9.776039815143967
2014.25,236.028,365.9,211.74,216.49,4.34,1.6126949139408042,6.8914142151850655,9.550910596026485,7.519245095604665,236.028,203.04,250.74,4.34,1.6126949139408042,5.42056074766355,7.604497468028493
2014.5,237.231,378.48,220.32,223.37,4.16,2.0589816945944195,8.353850558259367,10.802655401327698,8.389945652173903,237.231,205.21,254.42,4.16,2.0589816945944195,4.528321108394473,6.523195444649121
2014.75,237.477,386.85,225.31,228.03,4.16,1.6840509711232077,8.10697518443999,9.565259677105619,8.019895783988629,237.477,207.05,257.68,4.16,1.6840509711232077,4.013865166281527,5.615214361832943
2015.0,236.252,392.57,229.47,230.71,3.86,0.6531213919623191,8.784326765871352,10.163226116178592,8.86655341638356,236.252,210.58,263.93,3.86,0.6531213919623191,4.860073697838874,6.836949481865284
2015.25,235.976,400.09,234.1,234.71,3.77,-0.022031284423873476,9.344083082809519,10.56012090299423,8.416093122084156,235.976,213.09,267.59,3.77,-0.022031284423873476,4.949763593380618,6.720108478902431
2015.5,237.657,416.71,245.45,245.11,3.98,0.1795718097550525,10.100930035933198,11.40613652868554,9.732730447240012,237.657,215.97,272.06,3.98,0.1795718097550525,5.243409190585258,6.933417184183632
2015.75,237.498,431.69,254.71,256.38,3.89,0.008842961634170088,11.591055964844244,13.04868847365852,12.432574661228779,237.498,218.51,278.43,3.89,0.008842961634170088,5.534894952909908,8.052623408879223
2016.0,237.761,437.69,258.93,261.3,3.96,0.6387247515364791,11.493491606592453,12.83827951366192,13.25906982792251,237.761,221.84,282.72,3.96,0.6387247515364791,5.347136480197534,7.119311938771644
2016.25,238.08,445.49,264.21,266.86,3.69,0.8916160965521946,11.347446824464512,12.862024775736858,13.69775467598313,238.08,224.67,289.8,3.69,0.8916160965521946,5.434323525271001,8.30001121118129
2016.5,240.222,461.15,274.01,278.12,3.57,1.0792865347959424,10.664490892947143,11.635771032796915,13.467422789767847,240.222,228.01,294.01,3.57,1.0792865347959424,5.574848358568318,8.068073219142825
2016.75,241.176,473.73,281.5,283.78,3.46,1.5486446201652182,9.738469735226673,10.51784382238623,10.687261096809419,241.176,231.58,299.25,3.46,1.5486446201652182,5.981419614662964,7.477642495420755
2017.0,242.637,480.52,285.51,288.51,4.2,2.0507989115119862,9.78546459823162,10.265322674081801,10.413318025258311,242.637,235.36,305.71,4.2,2.0507989115119862,6.094482509917065,8.131720430107503
2017.25,243.892,488.66,291.97,295.23,4.2,2.44119623655914,9.690453208826245,10.506793838234763,10.63104249419171,243.892,238.25,312.1,4.2,2.44119623655914,6.044420705924258,7.694962042788123
2017.5,244.163,505.8,303.05,306.06,3.9,1.640565809959127,9.682315949257303,10.598153352067442,10.046023299295271,244.163,242.15,317.71,3.9,1.640565809959127,6.201482391123192,8.060950307812664
2017.75,246.435,513.87,307.75,305.08,3.81,2.1805652303711787,8.473180925843838,9.325044404973347,7.505814363239138,246.435,246.07,324.04,3.81,2.1805652303711787,6.25701701355903,8.284043441938183
2018.0,247.805,521.03,312.39,310.93,3.95,2.129930719552253,8.430450345459084,9.414731533046128,7.770961145194288,247.805,249.8,331.73,3.95,2.129930719552253,6.135282121006114,8.511334271041203
