Year,CPI,HousingIndex_Colorado,HousingIndex_Denver,HousingIndex_Boulder,Mortgage_Rate,Consumer_Inflation_Rate,House_Inflation_Rate_Colorado,House_Inflation_Rate_Denver,House_Inflation_Rate_Boulder
2013.25,232.282,342.31,193.28,201.35,3.57,1.5187472411246183,4.08355631233277,5.854647023385717,3.0081342405484213
2013.5,232.445,349.3,198.84,206.08,4.07,1.7157935271568725,5.93515906954174,7.678977580418067,5.736275012827097
2013.75,233.544,357.84,205.64,211.1,4.49,1.0947341081747997,6.776474800823551,9.511130045798266,6.626932013334685
2014.0,234.719,360.87,208.3,211.92,4.46,1.5128383667573297,6.712600171511363,9.608503472953078,6.412252071303026
2014.25,236.028,365.9,211.74,216.49,4.34,1.6126949139408042,6.8914142151850655,9.550910596026485,7.519245095604665
2014.5,237.231,378.48,220.32,223.37,4.16,2.0589816945944195,8.353850558259367,10.802655401327698,8.389945652173903
2014.75,237.477,386.85,225.31,228.03,4.16,1.6840509711232077,8.10697518443999,9.565259677105619,8.019895783988629
2015.0,236.252,392.57,229.47,230.71,3.86,0.6531213919623191,8.784326765871352,10.163226116178592,8.86655341638356
2015.25,235.976,400.09,234.1,234.71,3.77,-0.022031284423873476,9.344083082809519,10.56012090299423,8.416093122084156
2015.5,237.657,416.71,245.45,245.11,3.98,0.1795718097550525,10.100930035933198,11.40613652868554,9.732730447240012
2015.75,237.498,431.69,254.71,256.38,3.89,0.008842961634170088,11.591055964844244,13.04868847365852,12.432574661228779
2016.0,237.761,437.69,258.93,261.3,3.96,0.6387247515364791,11.493491606592453,12.83827951366192,13.25906982792251
2016.25,238.08,445.49,264.21,266.86,3.69,0.8916160965521946,11.347446824464512,12.862024775736858,13.69775467598313
2016.5,240.222,461.15,274.01,278.12,3.57,1.0792865347959424,10.664490892947143,11.635771032796915,13.467422789767847
2016.75,241.176,473.73,281.5,283.78,3.46,1.5486446201652182,9.738469735226673,10.51784382238623,10.687261096809419
2017.0,242.637,480.52,285.51,288.51,4.2,2.0507989115119862,9.78546459823162,10.265322674081801,10.413318025258311
2017.25,243.892,488.66,291.97,295.23,4.2,2.44119623655914,9.690453208826245,10.506793838234763,10.63104249419171
2017.5,244.163,505.8,303.05,306.06,3.9,1.640565809959127,9.682315949257303,10.598153352067442,10.046023299295271
2017.75,246.435,513.87,307.75,305.08,3.81,2.1805652303711787,8.473180925843838,9.325044404973347,7.505814363239138
2018.0,247.805,521.03,312.39,310.93,3.95,2.129930719552253,8.430450345459084,9.414731533046128,7.770961145194288
2018.25,249.577,534.88,320.77,317.17,4.44,2.3309497646499366,9.458519215814665,9.864027126074571,7.431494089354063
2018.5,251.018,548.61,329.72,326.26,4.57,2.8075506935940187,8.4638196915777,8.800527965682225,6.6000130693328
2018.75,252.182,556.94,334.12,330.21,4.63,2.332055105808828,8.38149726584545,8.568643379366382,8.237183689524063
2019.0,252.767,558.58,334.3,332.28,4.64,2.0023809043401064,7.206878682609452,7.013668811421625,6.866497282346495
2019.25,254.277,566.24,338.47,334.64,4.27,1.8831863513063984,5.862997307807372,5.517972378963143,5.508087145694729
2019.5,255.213,575.19,343.31,338.41,3.8,1.671194894390049,4.844971837917655,4.121679000363931,3.7240237847115942
2019.75,256.43,580.47,345.55,339.46,3.61,1.6844977040391562,4.224871619923154,3.420926613192865,2.8012476908633843
2020.0,258.63,585.31,348.04,341.57,3.72,2.3195274699624457,4.785348562426139,4.110080765779234,2.7958348380883624
2020.25,258.076,591.67,351.48,343.94,3.45,1.4940399642909163,4.491028539135344,3.8437675421750805,2.7791059048529743
2020.5,257.042,598.64,355.28,344.18,3.16,0.7166562831830481,4.0769137154679225,3.4866447234277897,1.7050323571998316
2020.75,259.997,608.04,361.19,348.93,2.89,1.3910228912373812,4.749599462504506,4.526117783244099,2.7897248571260302
2021.0,262.045,620.49,367.98,355.03,2.68,1.3204191315779434,6.0104901676035105,5.729226525686704,3.940627104253891
2021.25,264.961,637.11,378.41,358.25,3.08,2.6678187820641908,7.679956732638127,7.661886878343016,4.160609408617777
2021.5,270.654,683.15,406.03,386.21,2.98,5.295632620349999,14.116998530001347,14.284507993695117,12.211633447614624
2021.75,273.91,723.87,429.14,409.3,2.9,5.351215590949132,19.049733570159866,18.81281320080843,17.301464477115758
2022.0,280.845,744.11,440.22,415.17,3.1,7.174340285065539,19.92296410901062,19.63150171204957,16.93941357068418
2022.25,287.674,775.74,460.16,437.75,4.17,8.572204966013853,21.759193859773028,21.603551703179093,22.191207257501745
2022.5,294.957,837.24,498.63,478.84,5.52,8.979361103105798,22.555807655712524,22.806196586459127,23.984360839957542
2022.75,296.349,829.33,487.23,469.78,6.11,8.192106896425821,14.568914307817703,13.536375075732865,14.776447593452225
