Year,Mortgage_Rate,Consumer_Inflation_Rate
1985.5833333333333,12.03,3.458213256484166
1985.6666666666667,12.19,3.3524904214559337
1985.75,12.19,3.2473734479465
1985.8333333333333,12.14,3.2350142721217834
1985.9166666666667,11.78,3.5137701804368593
1986.0,11.26,3.791469194312791
1986.0833333333333,10.89,3.9735099337748325
1986.1666666666667,10.71,3.19849482596426
1986.25,10.08,2.1535580524344455
1986.3333333333333,9.94,1.5887850467289688
1986.4166666666667,10.14,1.679104477611948
1986.5,10.68,1.7674418604651132
1986.5833333333333,10.51,1.671309192200554
1986.6666666666667,10.2,1.575532900834098
1986.75,10.01,1.757631822386685
1986.8333333333333,9.97,1.5668202764977046
1986.9166666666667,9.7,1.2844036697247763
1987.0,9.31,1.187214611872145
1987.0833333333333,9.2,1.364877161055511
1987.1666666666667,9.08,1.9143117593436676
1987.25,9.04,2.8414298808432603
1987.3333333333333,9.83,3.679852805887762
1987.4166666666667,10.6,3.669724770642202
1987.5,10.54,3.7477148080438782
1987.5833333333333,10.28,3.926940639269394
1987.6666666666667,10.33,4.2883211678832245
1987.75,10.89,4.2727272727272725
1987.8333333333333,11.26,4.355716878402904
1987.9166666666667,10.65,4.528985507246386
1988.0,10.65,4.332129963898912
1988.0833333333333,10.43,4.129263913824044
1988.1666666666667,9.89,3.9355992844364973
1988.25,9.93,3.832442067736186
1988.3333333333333,10.2,3.9929015084294583
1988.4166666666667,10.46,3.9823008849557473
1988.5,10.46,3.96475770925111
1988.5833333333333,10.43,4.130052724077338
1988.6666666666667,10.6,4.111986001749779
1988.75,10.48,4.184829991281602
1988.8333333333333,10.3,4.260869565217407
1988.9166666666667,10.27,4.246100519930662
1989.0,10.61,4.4117647058823595
1989.0833333333333,10.73,4.482758620689653
1989.1666666666667,10.65,4.647160068846801
1989.25,11.03,4.892703862660941
1989.3333333333333,11.05,5.034129692832767
1989.4166666666667,10.77,5.276595744680845
1989.5,10.2,5.1694915254237195
1989.5833333333333,9.88,5.063291139240511
1989.6666666666667,9.99,4.621848739495804
1989.75,10.13,4.435146443514637
1989.8333333333333,9.95,4.587155963302747
1989.9166666666667,9.77,4.655029093931851
1990.0,9.74,4.639602319801162
1990.0833333333333,9.9,5.198019801980203
1990.1666666666667,10.2,5.263157894736836
1990.25,10.27,5.237315875613735
1990.3333333333333,10.37,4.711616571892785
1990.4166666666667,10.48,4.365400161681476
1990.5,10.16,4.673650282030639
1990.5833333333333,10.04,4.819277108433728
1990.6666666666667,10.1,5.702811244979911
1990.75,10.18,6.169871794871806
1990.8333333333333,10.18,6.379585326953752
1990.9166666666667,10.01,6.195393169181873
